Local	Visitante	diff	Outcome
Sevilla HL	Fuengirola Lions	4	1
Hockey Club Águilas	Don Patin HL	3	1
CH Sancti Petri	Tiburones de Cartagena	1	0
Don Patin HL	CH Sancti Petri	-12	0
Tiburones de Cartagena	Fuengirola Lions	8	1
Hockey Club Águilas	Sevilla HL	-4	0
Hockey Club Águilas	Fuengirola Lions	0	1
Don Patin HL	Tiburones de Cartagena	-11	0
Sevilla HL	CH Sancti Petri	-5	0
Fuengirola Lions	CH Sancti Petri	-9	0
Tiburones de Cartagena	Hockey Club Águilas	8	0
Don Patin HL	Sevilla HL	-7	0
Fuengirola Lions	Don Patin HL	3	1
CH Sancti Petri	Hockey Club Águilas	9	1
Sevilla HL	Tiburones de Cartagena	-4	0
Fuengirola Lions	Hockey Club Águilas	0	1
Tiburones de Cartagena	Don Patin HL	8	1
CH Sancti Petri	Sevilla HL	5	0
CH Sancti Petri	Fuengirola Lions	9	1
Hockey Club Águilas	Tiburones de Cartagena	-9	0
Sevilla HL	Don Patin HL	7	0
Don Patin HL	Hockey Club Águilas	-3	1
Tiburones de Cartagena	CH Sancti Petri	-1	0
Fuengirola Lions	Sevilla HL	-4	1